Name                               Application ID                      Version         Branch         Installation

Calculator                         io.elementary.calculator            2.0.2           stable         system
Camera                             io.elementary.camera                6.2.2           stable         system
Captive Network Assistant          io.elementary.capnet-assist         2.4.4           stable         system
Music                              io.elementary.music                 7.1.0           stable         system
Screenshot                         io.elementary.screenshot            6.0.4           stable         system
Videos                             io.elementary.videos                3.0.0           stable         system
Web                                org.gnome.Epiphany                  44.6            stable         system
Document Viewer                    org.gnome.Evince                    44.3            stable         system
File Roller                        org.gnome.FileRoller                43.0            stable         system

